#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
segaac5;세가 클래식 아케이드 콜렉션 5합 (미국판);MAME segacd;;1992;SEGA;Multi Game;;;;;;;;;;
soniccd;소닉 CD. 미국판;MAME segacd;Sonic CD (USA);;;Action;;;;;;;;;;
soniccd;소닉 CD. 일본판;MAME megacdj;Sonic CD (Japan);;SEGA;Action;;;;;;;;;;
soulstar;소울스타 (일본판);MAME megacdj;;1994;Victor;Shooting;;;;;;;;;;
Sol-Feace (J);솔-피스 (일본판);SEGA CD Fusion;solfeace;1991;Wolf Team;Shooting;;;;;;;;;;
Supreme Warrior - Ying Heung Disc-1 32X (USA);슈프림 워리어 - 잉흥 Disc 1 32X CD (미국판);SEGA CD Fusion;supremew;;;Interactive Movie;;;;;;;;;;
Supreme Warrior - Ying Heung Disc-2 32X (USA);슈프림 워리어 - 잉흥 Disc 1 32X CD (미국판);SEGA CD Fusion;supremew;;;Interactive Movie;;;;;;;;;;
snatcher;스내처 (미국판);MAME segacd;;;;Adventure;;;;;;;;;;
smurfs;스머프 (유럽판);MAME megacd;;1994;Infogrames;Action;;;;;;;;;;
starblad;스타블레이드 (미국판);MAME segacd;;;Namco;Shooting;;;;;;;;;;
swra;스타워즈 저항군의 반격 (미국판);MAME segacd;;1993;Lucasarts;Shooting;;;;;;;;;;
cobra;스페이스 어드벤처 코브라 (미국판);MAME segacd;;1995;Hudson;Adventure;;;;;;;;;;
spaceace;스페이스 에이스 (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
nobuhao;신장의 야망 - 패왕전 (일본판);MAME megacdj;;1994;Koei;STR;;;;;;;;;;
silpheed;실피드 (미국판);MAME segacd;;;;Shooting;;;;;;;;;;
Cobra Command (U);썬더 스톰 FX (일본판);SEGA CD Fusion;tstormfx;;;Interactive Movie;;;;;;;;;;
anettfut;아네트 다시 한번 (일본판);MAME megacdj;;;;Arcade;;;;;;;;;;
fatfursp;아랑전설 스페셜 (미국판);MAME segacd;;1995;JVC;VS Fighting;;;;;;;;;;
arslan;아르슬란 전기 - 아르슬란의 영웅 전설 (일본판);MAME megacdj;;1993;SEGA;SRPG;;;;;;;;;;
hota;아웃 오브 디스 월드 & 하트 오브 에얼리언 (미국판);MAME segacd;;;;Adventure;;;;;;;;;;
aislelrd;아일 로드 (일본판);MAME megacdj;;1992;Wolf Team;RPG;;;;;;;;;;
arcus123;아쿠스 I-II-III (일본판);MAME megacdj;;1993;Telenet Japan;RPG;;;;;;;;;;
alshark;알샤크 (일본판);MAME megacdj;;;;RPG;;;;;;;;;;
afterarm;애프터 아마게돈 외전 - 마수투장전 이클립스 (일본판);MAME megacdj;;1994;SEGA;RPG;;;;;;;;;;
earnest;어니스트 에반스 (일본판);MAME megacdj;;1991;Wolf Team;Action;;;;;;;;;;
ejimse;어스웜 짐 - 스페셜 에디션 (미국판);MAME segacd;;1995;Interplay;Action;;;;;;;;;;
ecco;에코 더 돌핀 (미국판);MAME segacd;;1993;SEGA;Action;;;;;;;;;;
ecco2;에코 더 타이드 오브 타임 (미국판);MAME segacd;;1994;SEGA;Action;;;;;;;;;;
uruseiya;우르세이 야츠라 - 디어 마이 프렌드 (일본판);MAME megacdj;;;;Adventure;;;;;;;;;;
prime;울트라버스 프라임 (미국판);MAME segacd;;;;Action;;;;;;;;;;
wolfchld;울프차일드 (일본판);MAME megacdj;;1993;Victor;Action;;;;;;;;;;
wonderdg;원더 독 (미국판);MAME segacd;;;;Action;;;;;;;;;;
wmcol;원더메가 콜렉션 - 게임 가든 (일본판);MAME megacdj;;199?;Victor;Etc;;;;;;;;;;
monkey;원숭이섬의 비밀 (미국판);MAME segacd;;;;Adventure;;;;;;;;;;
wingcomm;윙 커맨더 (미국판);MAME segacd;;1994;Origin;Shooting;;;;;;;;;;
yumimimx;유미미 믹스 (일본판);MAME megacdj;;;;Adventure;;;;;;;;;;
etenalc;이터널 챔피언;MAME segacd;;1995;SEGA;VS Fighting;;;;;;;;;;
jagxj220;재규어 XJ220 (일본판);MAME megacdj;;1993;Victor;Racing;;;;;;;;;;
sengoku;전국전승 (일본판);MAME megacdj;;1993;Sammy;Action;;;;;;;;;;
dennin;전인 알레스트 - 노부나가와 닌자군단 (일본판);MAME megacdj;;;;Shooting;;;;;;;;;;
fheyarea;정령신세기 페이 에어리어 (일본판);MAME megacdj;;1992;Wolf Team;RPG;;;;;;;;;;
3rdww;제3차 세계대전 (미국판);MAME segacd;;1993;Micronet;STR;;;;;;;;;;
shinmt;진 여신전생(일본판);MAME megacdj;;1994;SIMS;RPG;;;;;;;;;;
tenbu;천무 메가 시디 스페셜 (일본판);MAME megacdj;;1992;Wolf Team;STR;;;;;;;;;;
tenkafub;천하포무 - 영웅들의 포효 (일본판);MAME megacdj;;1991;Game Arts;STR;;;;;;;;;;
dino2;캐딜락 앤 다이노소어 - 두번째 대재앙 (미국판);MAME segacd;;1994;Rocket Science Games;Shooting;;;;;;;;;;
ctsuba;캡틴 츠바사 (일본판);MAME megacdj;;;;Adventure;;;;;;;;;;
cfstory;코스믹 환타지 스토리즈 (일본판);MAME megacdj;;;;RPG;;;;;;;;;;
Corpse Killer 32X (USA);콥스 킬러 32X CD (미국판);SEGA CD Fusion;corpse;;;Interactive Movie;;;;;;;;;;
cliffh;클리프 행어 (미국판);MAME segacd;;1993;Sony;Action;;;;;;;;;;
timegal;타임 갈 (일본판);MAME megacdj;;;;Interactive Movie;;;;;;;;;;
tcataly;톰캣 엘리 (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
#Final Fight CD (U);파이널 파이트 CD (미국판);MAME segacd;;1993;Capcom;Arcade;;;;;;;;;;
ffightcd;파이널 파이트 CD (일본판);MAME megacdj;;1993;Capcom;Arcade;;;;;;;;;;
popmail;팝플 메일 (미국판);MAME segacd;;1994;SEGA;Action;;;;;;;;;;
panic;패닉! (미국판);MAME segacd;;1994;Dataeast;Adventure;;;;;;;;;;
ppersia;페르시아의 왕자 (미국판);MAME segacd;;;;Action;;;;;;;;;;
proyakcd;프로야구 슈퍼 리그 CD (일본판);MAME megacdj;;1992;SEGA;Sports;;;;;;;;;;
Flashback - The Quest For Identity (U);플래시 백 (미국판);SEGA CD Fusion;flashb;1994;Delphine;Action;;;;;;;;;;
#flink;플링크 (미국판);MAME segacd;;;;Action;;;;;;;;;;
illcity;환영도시 CD (일본판);MAME megacdj;;1993;Micro Cabin;RPG;;;;;;;;;;
hook;후크 (미국판);MAME segacd;;1992;Sony;Action;;;;;;;;;;

