#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Estpolis Denki (K);에스트폴리스 전기 (한글판);SNES;;1993;Taito;RPG;;;;;;;;;;
xmenu;엑스맨 - 뮤턴트 아포칼립스;MAME snes;X-Men - Mutant Apocalypse (USA);1994;Capcom;Action;;;;;;;;;;
axelayu;엑슬레이;MAME snes;Axelay (USA);1992;Konami;Shooting;;;;;;;;;;
Shodai Nekkeysu Kouha Kunio-kun (K);열혈경파 구니오군 (한글판);SNES;;1992;Technos Japan;Action;;;;;;;;;;
wildgunsu;와일드 건;MAME snes;;1995;Natsume;Gun Shooting;;;;;;;;;;
tekkaman;우주의 기사 데카맨 블레이드;MAME snes;;1993;Bandai;Shooting;;;;;;;;;;
Wedding Peach (K);웨딩피치 (한글판);SNES;;1995;KSS;Puzzle;;;;;;;;;;
YS 3 (K);이스 3 (한글판);SNES;;1991;Tonkin House;RPG;;;;;;;;;;
Densetsu no Orge Battle (K);전설의 오우거 배틀 (한글판);SNES;;1993;Quest;SRPG;;;;;;;;;;
Dai 3 Ji Super Robot Taisen (K);제3차 슈퍼 로봇대전 (한글판);SNES;;1993;Banpresto;SRPG;;;;;;;;;;
Dai 4 Ji Super Robot Taisen (K);제4차 슈퍼 로봇대전 (한글판);SNES;;1995;Banpresto;SRPG;;;;;;;;;;
genocid2;제노사이드 2;MAME snes;;1994;Kemco;Action;;;;;;;;;;
Otogirisou (K);제절초 (한글판);SNES;;1992;Chunsoft;Adventure;;;;;;;;;;
The Legend of Zelda - Triforce of the Gods (K);젤다의 전설 - 신들의 트라이포스 (한글판);SNES;;1991;Nintendo;RPG;;;;;;;;;;
Assault Suits Valken (K);중장기병 발켄 (한글판);SNES;;1992;Masaya;Shooting;;;;;;;;;;
Tenchi Souzou (K);천지창조 (한글판);SNES;;1995;Enix;RPG;;;;;;;;;;
chomakai;초마계촌;MAME snes;sgng;1991;Capcom;Action;;;;;;;;;;
Choujikuu Yousai Macross - Scrambled Valkyrie (K);초시공요새 마크로스 - 스크램블 발키리 (한글판);SNES;;1993;Zamuse;Shooting;;;;;;;;;;
Kirby's Dream Land 3 (U);카비 드림랜드 3;SNES;;1997;Nintendo;Action;;;;;;;;;;
kirbyss;카비 슈퍼 스타;MAME snes;Kirby Super Star (USA);1996;Nintendo;Action;;;;;;;;;;
Chrono Trigger (K);크로노 트리거 (한글판);SNES;;1995;Square;RPG;;;;;;;;;;
Clock Tower (1995,Human,AD)(K);클럭 타워 (한글판);Mednafen snes;;1995;Human;Adventure;;;;;;;;;;
taekwonk;태권도;Mednafen snes;Taekwon-Do (1994,Human,VS)(K);1994;Human;VS Fight;;;;;;;;;;
Tactics Ogre - Let Us Cling Together (1995,Quest,SM)(K);택틱스 오우거 (한글판);SNES;;1995;Quest;RPG;;;;;;;;;;
Tales of Phantasia (K);테일즈 오브 판타지아 (한글판);SNES;;1995;Namco;RPG;;;;;;;;;;
Treasure Hunter G (1996,Square,RPG)(K);트레저 헌터 G (한글판);SNES;;1996;Square;RPG;;;;;;;;;;
twinbadvj;트윈비 - 레인보우 벨 어드벤처;MAME snes;twinbadv;1994;Konami;Action;;;;;;;;;;
ttoonwaku;티니툰 대운동회;MAME snes;Tiny Toons - Wild and Wacky Sports (US);1994;Konami;Sports;;;;;;;;;;
ttoonbblu;티니툰 어드벤처;MAME snes;Tiny Toons Adventures - Buster Busts Loose (J);1993;Konami;Action;;;;;;;;;;
ffight2j;파이널 파이트 2;MAME snes;ffight2;1993;Capcom;Arcade;;;;;;;;;;
ffight3u;파이널 파이트 터프;MAME snes;Final Fight 3 (USA);1996;Capcom;Arcade;;;;;;;;;;
Final Fantasy 4 (K);파이널 판타지 4 (한글판);SNES;;1991;Square;RPG;;;;;;;;;;
Final Fantasy 5 (K);파이널 판타지 5 (한글판);SNES;;1992;Square;RPG;;;;;;;;;;
Final Fantasy 6 (K);파이널 판타지 6 (한글판);SNES;;1994;Square;RPG;;;;;;;;;;
Fire Emblem - Mystery of Emblem (1994,Nintendo,SM)(K);파이어 엠블렘: 문장의 비밀 (한글판);SNES;;1994;Nintendo;RPG;;;;;;;;;;
Fire Emblem - Genearaly of Holy War (1996,Nintendo,SM)(K);파이어 엠블렘: 성전의 계보 (한글판);SNES;;1996;Nintendo;RPG;;;;;;;;;;
Fire Emblem - Thracia 776 (2002,Nintendo,SM)(K);파이어 엠블렘: 트라키아 776 (한글판);SNES;;2002;Nintendo;RPG;;;;;;;;;;
Firemen, The (K);파이어맨 (한글판);Mednafen snes;;1994;Human;Action;;;;;;;;;;
phalanxu;팔랑크스;MAME snes;phalanx;1992;Kemco;Shooting;;;;;;;;;;
popntwinj;팝픈 트윈비;MAME snes;popntwin;1993;Konami;Shooting;;;;;;;;;;
ppersia2u;페르시아의 왕자 2;MAME snes;ppersia2;1996;Titus;Action;;;;;;;;;;
Furai no Siren (1992,Square,RPG)(K);풍래의 시렌 (한글판);SNES;;;;RPG;;;;;;;;;;
Front Mission (K);프론트 미션 (한글판);SNES;;1995;Square;RPG;;;;;;;;;;
haganeu;하가네: 파이널 컨플릭트;MAME snes;Hagane - The Final Conflict (USA);1995;Hudson;Action;;;;;;;;;;
Violin Harmel (1995,Enix,AT)(K);하멜의 바이올린 (한글판);SNES;;1995;Enix;Action;;;;;;;;;;
Harvest Moon (K);하베스트 문 (한글판);SNES;;1997;Natsume;RPG;;;;;;;;;;
hanguk;한국 프로야구;MAME snes;Korean Pro Base Ball Game (1993,Jaleco,SP)(K);1994;Hyundai;Sports;;;;;;;;;;
musya;호창신뢰전설 - 무사;MAME snes;;1992;Seta;Action;;;;;;;;;;
#contra3;혼두라 3 - 에일리언 워즈;MAME snes;Contra III - The Alien Wars (USA);1992;Konami;Action;;;;;;;;;;
contrasp;혼두라 스피리츠;MAME snes;Contra III - The Alien Wars (USA);1992;Konami;Action;;;;;;;;;;
