#Name;PC-Engine CD;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
kiaidan;키아이단 00 (일본판);MAME pcecd;;;;Shooting;;;;;;;;;;
terrafor;테라포밍 (일본판);MAME pcecd;;1992;Right Stuff;Shooting;;;;;;;;;;
fstreet;파이팅 스트리트 (미국판);PC-Engine CD;;;;VS Fight;;;;;;;;;;
#populous;파퓰러스 (일본판);MAME pcecd;;1991;Hudson;SLG;;;;;;;;;;
popnmagi;팝픈 매직 (일본판);MAME pcecd;;1992;Telenet Japan;Action;;;;;;;;;;
faussete;포스떼 아무어 (일본판);MAME pcecd;;1993;;Action;;;;;;;;;;
kazekiri;풍무 (일본판);MAME pcecd;;1994;Naxat Soft;Action;;;;;;;;;;
fraycd;프레이 CD - 사크 외전 (일본판);MAME pcecd;;;;RPG;;;;;;;;;;
#flashhid;플래시 하이더스 (일본판);MAME pcecd;;;;VS Fight;;;;;;;;;;
hellfire;헬파이어 S (일본판);MAME pcecd;;1991;NEC Avenue;Shooting;;;;;;;;;;
horrorst;호러 스토리 (일본판);MAME pcecd;;;;Action;;;;;;;;;;
