#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
astyanax;아스티아낙스;MAME;0;1989;Jaleco;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
outzone;아웃 존;MAME;0;1990;Toaplan;Shooting;;;;;;;;;;
outrun;아웃런;MAME;0;1986;SEGA;Racing;1;0;Paddle,pedal;good;1;raster;0;0;0;3
outfxies;아웃폭시즈;MAME;0;1994;Namco;VS Fighting;;;;;;;;;;
imsorry;아임쏘리;MAME;0;1985;SEGA;Puzzle;2;0;Joystick (8-way);good;1;raster;0;0;0;2
akatana;아카이 카타나;MAME;0;2010;Cave;Shooting;2;;;;;;;;;
aquajack;아쿠아 잭;MAME;0;1989;Taito;Shooting;;;;;;;;;;
acrobatm;아크로뱃 미션;MAME;0;1991;Taito;Shooting;2;0;Joystick (8-way),dial;good;1;raster;;0;0;2
athena;아테나;MAME;0;1986;SNK;Action;2;0;Joystick (4-way);good;;;;;;
robokid;아토믹 로보키드;MAME;0;1988;UPL;Shooting;;;;;;;;;;
danchih;아파트 단지 화투;MAME;0;1999;Altron;Puzzle;2;0;Joystick (8-way),dial;good;1;raster;stvbios;0;0;4
hcastle;악마성 드라큐라;MAME;0;1988;Konami;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
androdun;안드로 듀노스;MAME;0;1992;Visco;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2
alexkidd;알렉스 키드 - 더 로스트 스타즈;MAME;0;1991;SEGA;Action;2;;;;;;;;;
arkanoid;알카노이드;MAME;0;1986;Taito Corporation Japan;Puzzle;2;90;dial;good;1;raster;0;0;0;1
arknoid2;알카노이드 2;MAME;0;1987;Taito Corporation Japan;Puzzle;2;270;dial;good;1;raster;0;0;0;1
arkretrn;알카노이드 리턴;MAME;0;1997;Taito;Puzzle;4;0;Joystick (8-way),dial;good;1;raster;0;0;0;4
aburner2;애프터 버너 II;MAME;0;1987;SEGA;Shooting;1;0;Joystick (analog);good;1;raster;0;0;0;2
actfancr;액트 팬서: 진화형 전뇌병기;MAME;0;1989;Data east;Shooting;1;0;;good;1;;;;;
avspirit;어벤징 스피릿;MAME;0;1991;Jaleco;Action;;;;;;;;;;
uccops;언더커버 캅스;MAME;0;1992;Irem;Arcade;3;0;Joystick (8-way);good;1;raster;0;0;0;2
espgal2;에스프가루다 2;MAME;0;2005;Cave;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;4
esprade;에스프레이드;MAME;0;1998;Cave;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
ehrgeiz;에어 가이츠;PSXmame;0;1997;Squaresoft;Sports;;;;;;;cpzn2;;;
agallet;에어 갈렛;MAME;0;1996;Banpresto;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
airwolf;에어 울프;MAME;0;1987;큐고;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
airco22b;에어 컴뱃 22;MAME;0;1995;Namco;Shooting;1;;;;;;;;;
aerofgt;에어로 파이터즈;MAME;0;1992;Video system;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
sonicwi2;에어로 파이터즈 2;MAME;0;1994;Video system;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4
sonicwi3;에어로 파이터즈 3;MAME;0;1995;Video system;Shooting;;;;;;;neogeo;;;
unsquad;에어리어 88 / U.N. 특수부대;MAME;0;1989;Capcom;Shooting;2;0;Joystick (8-way);good;1;raster;cps1;0;0;3
airbustr;에어버스터;MAME;0;1990;kaneko;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
astorm;에얼리언 스톰;MAME;0;1990;SEGA;Action;2;270;Joystick (8-way);good;1;raster;0;0;0;3
aliens;에얼리언스;MAME;0;1990;Konami;Action;2;270;Joystick (8-way);good;1;raster;0;0;0;2
eightman;에이트맨;MAME;0;1991;ADK;Action;2;270;Joystick (8-way);good;1;raster;neogeo;0;0;3
avsp;에일리언 대 프레데터;MAME;0;1994;Capcom;Arcade;3;0;Joystick (8-way);good;1;raster;cps2;0;0;3
ecofghtr;에코 파이터;MAME;0;1993;Irem;Shooting;2;0;Joystick (8-way);good;1;raster;cps1;0;0;2
exerion;엑서리온;MAME;0;1983;Jaleco;Shooting;2;90;Joystick (8-way);good;1;raster;0;0;0;2
xmen;엑스맨;MAME;0;1992;Konami;Arcade;4;0;Joystick (8-way);good;1;raster;0;0;0;3
xmvsf;엑스맨 Vs. 스트리트 파이터;MAME;0;1996;Capcom;VS Fighting;2;0;Joystick (8-way);good;1;raster;cps2;0;0;6
xmcota;엑스맨: 칠드런 오브 더 아톰;MAME;0;1995;Capcom;VS Fighting;2;0;Joystick (8-way);good;1;raster;cps2;0;0;6
elevator;엘리베이터액션;MAME;0;1983;Taito;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
elvactr;엘리베이터액션 리턴;MAME;0;1994;Taito Corporation Japan;Action;4;0;Joystick (8-way),dial;good;1;raster;0;0;0;4
empcity;엠파이어 시티 1931;MAME;0;1986;Seibu;Gun Shooting;1;0;Joystick (8-way),dial;good;1;raster;0;0;0;2
loht;영웅 톤마의 전설;MAME;0;1989;Irem;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;4
ordyne;오다인;MAME;0;1988;Namco;Shooting;;;;;;;;0;0;4
duckhunt;오리 사냥;MAME;0;1985;Nintendo;Shooting;1;0;lightgun;good;1;raster;0;0;0;1
osman;오스만 / 캐논 댄서;MAME;0;1996;Atlus;Action;1;0;Joystick (8-way);good;;;;;;
