#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ratchet & Clank - Size Matters (K);라쳇 & 클랭크 5 - 공구들고 바캉스;PS2;Ratchet & Clank - Size Matters (USA);2008;Sony;Action;;;;;;;;;;
Fatal Frame II - Crimson Butterfly (K);령제로 - 붉은 나비;PS2;Fatal Frame II - Crimson Butterfly (USA);2003;Tecmo;Horror Adventure;;;;;;;;;;
#Magna Carta Tears of Blood (K);마그나카르타 진홍의 성흔;PS2;Magna Carta - Tears of Blood (USA);2004;Softmax;RPG;;;;;;;;;;
#Metal Slug Complete (K);메탈 슬러그 컴플리트;PS2;Metal Slug Anthology (USA);2006;SNK;Action;;;;;;;;;;
Metal Gear Solid 2 - Substance (K);메탈기어 솔리드 2 - 서브스턴스;PS2;Metal Gear Solid 2 - Substance (USA);2003;Konami;Action;;;;;;;;;;
Metal Gear Solid 3 - Snake Eater (K);메탈기어 솔리드 3 - 스네이크 이터;PS2;Metal Gear Solid 3 - Snake Eater (USA);2004;Konami;Action;;;;;;;;;;
Musou Orochi Maou Sairin (K);무쌍 오로치 마왕재림;PS2;Warriors Orochi 2 (USA);2008;Koei;Action;;;;;;;;;;
Bujingai (K);무인가;PS2;Bujingai - The Forsaken City (USA);2003;Taito;Action;;;;;;;;;;
Van Helsing (K);반 헬싱;PS2;Van Helsing (USA);2004;;Action;;;;;;;;;;
Lord of the Rings The Two Towers;반지의 제왕 - 두개의 탑;PS2;Lord of the Rings, The - The Two Towers (USA);;;Action;;;;;;;;;;
Virtua Fighter 4 Evolution(K);버추어 파이터 4 에볼루션;PS2;Virtua Fighter 4 - Evolution (USA);2002;SEGA;VS Fight;;;;;;;;;;
Burnout Revenge (USA);번아웃 - 리벤지;PS2;0;2005;Criterion Games;Racing;;;;;;;;;;
Berserk (K);베르세르크 - 천년제국의 매편 성마전기의 장;PS2;0;2004;Sammy;Action;;;;;;;;;;
Siren (K);사이렌 1;PS2;Siren (USA);2003;Sony;Horror Adventure;;;;;;;;;;
Siren 2 (K);사이렌 2;PS2;0;2006;Sony;Horror Adventure;;;;;;;;;;
#Silent Hill 2;사일런트 힐 2;PS2;Silent Hill 2 (USA);;Konami;Horror Adventure;;;;;;;;;;
Silent Hill 3 (K);사일런트 힐 3;PS2;Silent Hill 3 (USA);2003;Konami;Horror Adventure;;;;;;;;;;
Silent Hill 4;사일런트 힐 4;PS2;Silent Hill 4 - The Room (USA);;Konami;Horror Adventure;;;;;;;;;;
Soul Calibur III (K);소울 칼리버 III;PS2;SoulCalibur III (USA);2005;Namco;VS Fight;;;;;;;;;;
Super Robot Taisen MX (K);슈퍼 로봇대전 MX;PS2;0;2004;Badai;SRPG;;;;;;;;;;
#Street Fighter Anniversary Collection (K);스트리트 파이터 기념 콜렉션;PS2;Street Fighter Anniversary Collection (USA);2004;Capcom;VS Fighting;;;;;;;;;;
Shinobi (K);시노비;PS2;0;;SEGA;Action;;;;;;;;;;
Silpheed - The Lost Planet (USA);실피드 - 로스트 플래닛;PS2;0;2000;GameArts;Shooting;;;;;;;;;;
#The Simpsons Game (USA);심슨 게임 (미국판);PS2;Simpsons Game, The (USA);2007;Electronic Arts;Action;;;;;;;;;;
Summer Heat Beach Volleyball;썸머 히트 비치 발리볼;PS2;Summer Heat Beach Volleyball (USA);2003;Acclaim;Sports;;;;;;;;;;
Argus no Senshi (K);아르고스의 전사;PS2;Rygar - The Legendary Adventure (USA);2003;Tecmo;Action;;;;;;;;;;
Castlevania Lament of Innocence (K);악마성 드라큐라 - 순결의 애도;PS2;Castlevania - Lament of Innocence (USA);2003;Konami;Action;;;;;;;;;;
Castlevania Curse of Darkness (K);악마성 드라큐라 - 어둠의 저주;PS2;Castlevania - Curse of Darkness (USA);2005;Konami;Action;;;;;;;;;;
Odin Sphere (K);오딘 스피어;PS2;Odin Sphere (USA);2002;Atlus;RPG;;;;;;;;;;
Shadow of the Colossus (K);완다와 거상;PS2;Shadow of the Colossus (USA);2005;Sony;RPG;;;;;;;;;;
Disaster Report (K);절체절명도시;PS2;Disaster Report (USA);2002;Irem;Adventure;;;;;;;;;;
#Xenosaga Episode 3 Disc 1 (USA)(Undub);제노사가 에피소드 3. Disc 1;PS2;Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 1);2006;Monolith Soft;RPG;;;;;;;;;;
#Xenosaga Episode 3 Disc 2 (USA)(Undub);제노사가 에피소드 3. Disc 2;PS2;Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 2);2006;Monolith Soft;RPG;;;;;;;;;;
Zone of the Enders - The 2nd Runner Special Edition (K);존 오브 디 엔더스 2;PS2;Zone of the Enders - The 2nd Runner (USA);2003;Konami;Action;;;;;;;;;;
Shin Megami Tensei 3 Nocturne (k);진 여신전생 3 녹턴;PS2;Shin Megami Tensei - Nocturne (USA);;Atlus;RPG;;;;;;;;;;
#Shin Megami Tensei 3 Nocturne Maniacs (K);진 여신전생 3 녹턴 매니악스;PS2;0;;Atlus;RPG;;;;;;;;;;
Shin Megami Tensei - Persona 3 FES (K);진 여신전생 페르소나 3 FES;PS2;Shin Megami Tensei - Persona 3 FES (USA);2006;Atlus;RPG;;;;;;;;;;
Shin Megami Tensei Persona 4;진 여신전생 페르소나 4;PS2;Shin Megami Tensei - Persona 4 (USA);2008;Atlus;RPG;;;;;;;;;;
Tenchu 3 - Wrath of Heaven (K);천주 3 - 천벌;PS2;Tenchu - Wrath of Heaven (USA);2003;;Action;;;;;;;;;;
#Tekken 4 (K);철권 4;PS2;Tekken 4 (USA);2001;Namco;VS Fight;;;;;;;;;;
Tekken 5;철권 5;PS2;Tekken 5 (USA);2005;Namco;VS Fight;;;;;;;;;;
Tekken TT (K);철권 태그 토너먼트;PS2;Tekken Tag Tournament (USA);2000;Namco;VS Fight;;;;;;;;;;
Capcom Fighting Evolution (USA);캡콤 파이팅 에볼루션;PS2;Capcom Fighting Evolution (USA);2004;Capcom;VS Fight;;;;;;;;;;
Culdcept 2 (K);컬드셉트 세컨드;PS2;Culdcept (USA);2004;Badai;Board;;;;;;;;;;
Come On Baby (K);컴온 베이비;PS2;0;2005;Expotato;Puzzle;;;;;;;;;;
Kunoichi (K);쿠노이치;PS2;Nightshade (USA);2003;SEGA;Action;;;;;;;;;;
Clock Tower 3 (K);클락 타워 3;PS2;Clock Tower 3 (USA);2002;Capcom;Horror Adventure;;;;;;;;;;
KOF - Maximum Impact Regulation A (Japan);킹오브 파이터 - 맥시멈 임팩트 레귤레이션 A;PS2;KOF Maximum Impact 2;2007;SNK Playmore;VS Fight;;;;;;;;;;
#King of Fighters Collection, The - The Orochi Saga (J);킹오브 파이터 콜렉션 - 오로치 사가;PS2;King of Fighters Collection, The - The Orochi Saga (USA);2008;SNK;VS Fight;;;;;;;;;;
Jake Hunter - Innocent Black (K);탐정 진구지 사부로 - 이노센트 블랙;PS2;0;2002;WorkJam;Adventure;;;;;;;;;;
Tantei Jinguji Saburo - Kind of Blue (K);탐정 진구지 사부로 - 카인드 오브 블루;PS2;0;2004;WorkJam;Adventure;;;;;;;;;;
Tales of Destiny 2;테일즈 오브 데스티니 2;PS2;0;2002;Namco;RPG;;;;;;;;;;
Final Fantasy X International (K);파이널 판타지 X;PS2;Final Fantasy X (USA);2002;Square;RPG;;;;;;;;;;
Final Fantasy X-2 (K);파이널 판타지 X-2;PS2;Final Fantasy X-2 (USA);2004;Square;RPG;;;;;;;;;;
Prince of Persia The Sands of Time (K);페르시아의 왕자 2;PS2;Prince of Persia - The Sands of Time (USA);;;Action;;;;;;;;;;
#Fuuun Shinsengumi Bakumatsu (K);풍운 막말전;PS2;0;2006;Genki;Action;;;;;;;;;;
#Fuuun Shinsengumi (K);풍운 신선조;PS2;0;2004;Genki;Action;;;;;;;;;;
Princess Maker 4;프린세스 메이커 4;PS2;0;2005;Gainax;SRPG;;;;;;;;;;
