#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
R-Type Final (K);R-타입 파이널;PS2;R-Type Final (USA);2003;Irem;Shooting;;;;;;;;;;
SD Gundam G Generation NEO (K);SD 건담 G 제너레이션 네오;PS2;0;2003;Badai;SRPG;;;;;;;;;;
Snk VS Capcom (K);SNK Vs. 캡콤;PS2;0;;SNK Playmore;VS Fight;;;;;;;;;;
SSX 3 (K);SSX 3;PS2;SSX 3 (USA);2003;EA;Sports;;;;;;;;;;
#God of War (K);갓 오브 워 1;PS2;God of War (USA);;;Action;;;;;;;;;;
God of war 2 (K);갓 오브 워 2;PS2;God of War II (USA);2007;SIEA;Action;;;;;;;;;;
#God Hand (K);갓 핸드;PS2;God Hand (USA);2006;Capcom;Action;;;;;;;;;;
#Gun Survivor 3 Dino Crisis;건 서바이버 3 디노 크라이시스;PS2;Dino Stalker (USA);;Capcom;Gun Shooting;;;;;;;;;;
Biohazard Gun Survivor 4;건 서바이버 4 바이오 해자드;PS2;Resident Evil - Dead Aim (USA);;Capcom;Gun Shooting;;;;;;;;;;
Gungrave (K);건그레이브;PS2;Gungrave (USA);;;Action;;;;;;;;;;
Dynasty Warriors - Gundam 2 (Japan);건담무쌍 2;PS2;Dynasty Warriors - Gundam 2 (USA);2008;Tecmo;Action;;;;;;;;;;
Ghost in the Shell - Stand Alone Complex (K);공각기동대 - SAC;PS2;Ghost in the Shell - Stand Alone Complex (USA);2004;Badai;Action;;;;;;;;;;
Katamari Damacy (K);괴혼: 굴려라 왕자님!;PS2;Katamari Damacy (USA);2003;Namco;Puzzle;;;;;;;;;;
Kuon (K);구온;PS2;Kuon (USA);2004;;Survival Horror;;;;;;;;;;
#Onimusha 2 Samurai's Destiny;귀무자 2;PS2;Onimusha 2 - Samurai's Destiny (USA);;Capcom;Action;;;;;;;;;;
Onimusha 3 - Demon Siege;귀무자 3;PS2;Onimusha 3 - Demon Siege (USA);2004;Capcom;Action;;;;;;;;;;
#Gradius V (USA);그라디우스 5;PS2;Gradius V (USA);2004;Konami;Shooting;;;;;;;;;;
Gran Turismo 4 (USA);그란 투리스모 4;PS2;Gran Turismo 4 (USA);2004;Polyphony Digital;Racing;;;;;;;;;;
Grow Lanser 3;그로우 랜서 3;PS2;Growlanser Generations (USA) (Disc 1);2001;Atlus;RPG;;;;;;;;;;
Mobile Suit Gundam - Gundam vs. Zeta Gundam (USA);기동전사 건담 - 건담 Vs. 제타 건담;PS2;Mobile Suit Gundam - Gundam vs. Zeta Gundam (USA);2005;Capcom;Shooting;;;;;;;;;;
MS Gundam Seed Never Ending Tomorrow (K);기동전사 건담 시드 - 끝나지 않은 내일로;PS2;Mobile Suit Gundam Seed - Never Ending Tomorrow (USA);2005;Badai;Shooting;;;;;;;;;;
MS Gundam Lost War Chronicles (K);기동전사 건담 전기;PS2;0;2003;Badai;Action;;;;;;;;;;
Naruto Ultimate Ninja Heroes;나루토 나루티밋 히어로즈;PS2;0;2006;Badai;Action;;;;;;;;;;
Naruto Uzumaki Chronicles;나루토 나뭇잎 스피리츠;PS2;Naruto - Uzumaki Chronicles (USA);2006;Badai;Action;;;;;;;;;;
Naruto Uzumaki Chronicles 2;나루토 우즈마키 인전;PS2;Naruto - Uzumaki Chronicles 2 (USA);2005;Badai;Action;;;;;;;;;;
#Ninja Assault;닌자 어절트;PS2;Ninja Assault (USA);;SEGA;Gun Shooting;;;;;;;;;;
Demon Chaos (K);데몬 카오스;PS2;Demon Chaos (Europe);2005;Konami;Action;;;;;;;;;;
#Devil May Cry 1 (K);데빌 메이 크라이 1;PS2;Devil May Cry (USA);2001;Capcom;Action;;;;;;;;;;
#Devil May Cry 2 (K);데빌 메이 크라이 2;PS2;Devil May Cry 2 (USA) (Disc 1);2003;Capcom;Action;;;;;;;;;;
Devil May Cry 3 (K);데빌 메이 크라이 3;PS2;Devil May Cry 3 - Dante's Awakening (USA);2005;Capcom;Action;;;;;;;;;;
Dororo (K);도로로;PS2;0;2004;SEGA;Action;;;;;;;;;;
Dragonball Z Sparking Meteor (K);드래곤볼 Z 스파킹 메테오;PS2;DragonBall Z - Budokai Tenkaichi 3 (USA);2007;Badai;VS Fight;;;;;;;;;;
Raiden III;라이덴 3;PS2;Raiden III (USA);;;Shooting;;;;;;;;;;
Ratchet & Clank - Going Commando (K);라쳇 & 클랭크 2 - 공구전사 대박몰이;PS2;Ratchet & Clank - Going Commando (USA);2003;Sony;Action;;;;;;;;;;
Ratchet & Clank - Up Your Arsenal (K);라쳇 & 클랭크 3 - 공구전사 리로디드;PS2;Ratchet & Clank - Up Your Arsenal (USA);2004;Sony;Action;;;;;;;;;;
Ratchet - Deadlocked (K);라쳇 & 클랭크 4 - 공구전사 위기일발;PS2;Ratchet - Deadlocked (USA);2005;Sony;Action;;;;;;;;;;
