#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
yuyumt;유유백서 - 마강통일전 ;MAME megadrij;Yuu Yuu Hakusho - Makyou Toitsusen (J) [!];1994;SEGA;VS Fight;4;;;;;;;;24MB;
zouzou;조!조!조! 코끼리 구출대작전;MAME megadrij;rolo;1993;Electronic Arts;Action;1;;;;;;;;4MB;
trgearth;중장기병 레이노스 / 타겟 어스;MAME Genesis;Target Earth (U);1990;Dreamworks Games;Shooting;1;;;;;;;;4MB;
gynoug;지노그 / 윙스 오브 워;MAME megadriv;Wings of Wor (1991)(DreamWorks - NCS)(US);1991;NCS;Shooting;1;;;;;;;;4MB;
chelnov;체르노브 / 아토믹 런너;MAME megadrij;atomrun;1992;Data East;Action;1;;;;;;;;8MB;
captlang;캡틴 랑그 / 하이 시즈 하복;MAME megadrij;havoc;1994;Data East;Action;1;;;;;;;;8MB;
comixu;코믹스 존 ;MAME Genesis;Comix Zone (U);1995;SEGA;Action;1;;;;;;;;16MB;
kolibri;콜리브리 [32X];32X Fusion;;1995;SEGA;Shooting;1;;;;;;;;24MB;
crying;크라잉: 바이오 하자드 배틀;MAME megadrij;Bio-Hazard Battle (1992,Sega,ST)(UE);1992;SEGA;Shooting;1;;;;;;;;8MB;
kidcham;키드 카멜레온;MAME megadrij;Kid Chameleon (USA, Europe);1992;SEGA;Action;1;;;;;;;;8MB;
taskfhex;테스크 포스 해리어 EX;MAME Genesis;;1991;Treco;Shooting;1;;;;;;;;8MB;
tempo;템포 [32X];MAME 32x;;1995;SEGA;Action;1;;;;;;;;24MB;
toystoryu;토이 스토리;MAME Genesis;toystory;1995;Hasbro;Action;1;;;;;;;;32MB;
Twinkle Tale (K);트윙클 테일 (한글판);SEGA Mega Drive;;1992;Toyo Records;Shooting;1;;;;;;;;8MB;
ttacmeu;티니툰 애크미 올스타즈;MAME megadrij;Tiny Toon Adventures - Acme All-Stars (U);1994;Konami;Sports;2;;;;;;;;8MB;
ttoonbhtu;티니툰 어드벤처;MAME Genesis;Tiny Toon Adventures - Buster's Hidden Treasure (U);1993;Konami;Action;1;;;;;;;;4MB;
pcotton;파노라마 코튼;MAME megadrij;Panorama Cotton (1994,Sun Soft,Success,ST)(J);1994;Sunsoft;Shooting;1;;;;;;;;28MB;
powerath;파워 어슬리트 / 데들리 무브스;MAME megadrij;Power Athlete (1992,Kaneko,VS)(J);1992;Kaneko;VS Fight;2;;;;;;;;8MB;
firemust;파이어 무스탕;MAME megadrij;Fire Mustang (1991,Taito,ST)(J);1991;Taito;Shooting;1;;;;;;;;4MB;
fightmas;파이팅 마스터즈 ;MAME Genesis;Fighting Masters (U) [!];1992;Treco;VS Fight;2;;;;;;;;4MB;
Phantasy Star II (K);판타지 스타 2 (한글판);SEGA Mega Drive;;1989;SEGA;RPG;1;;;;;;;;6MB;
Phantasy Star - The End of the Millenium (K) [!];판타지 스타 4 (한글판);SEGA Mega Drive;;1994;SEGA;RPG;1;;;;;;;;24MB;
pulseman;펄스맨;MAME megadrij;;1994;SEGA;Action;1;;;;;;;;16MB;
ppersiau;페르시아의 왕자;MAME Genesis;Prince of Persia (1993,Tengen,AT)(U);1993;Tengen;Action;1;;;;;;;;8MB;
prince of persia 2 - the shadow and the flame (euro) (prototype);페르시아의 왕자 2 (프로토타입);SEGA Mega Drive PAL;ppersia2;1995;Tengen;Action;1;;;;;;;;16MB;
ppengo;페펭가 펭고;MAME megadrij;;1995;SEGA;Puzzle;1;;;;;;;;8MB;
flashbu;플래시백;MAME Genesis;Flashback - The Quest for Identity (1993,US Gold,AT)(U);1993;U.S.Gold;Action;1;;;;;;;;12MB;
ddanpei;피구왕 통키 / 화염의 투구아 도지탄평 ;MAME megadrij;Honoo no Toukyuuji Dodge Danpei (1992,Sega,SP)(J);1992;SEGA;Sports;2;;;;;;;;4MB;
pinocu;피노키오;MAME Genesis;Pinocchio (1995,Walt Disney,AT)(U);1996;THQ;Action;1;;;;;;;;24MB;
pitfall;핏폴 - 마얀의 모험 [32X];MAME 32x;;1995;Activision;Action;1;;;;;;;;24MB;
herzog;허족 쯔바이;MAME Genesis;;1989;Technosoft;RTS;2;;;;;;;;4MB;
contraj;혼두라 더 하드코어;SEGA Mega Drive;Contra - The Hard Corps (K) [!];1994;Konami;Action;2;;;;;;;;8MB;
toejam;홀이와 뚱이;MAME megadrij;ToeJam & Earl (World);1992;SEGA;Action;2;;;;;;;;8MB;
toejam2u;홀이와 뚱이 2;MAME Genesis;Toejam & Earl in Panic on Funkotron (U) [!];1993;SEGA;Action;2;;;;;;;;16MB;
hybridf;하이브리드 프론트;MAME megadrij;;1994;SEGA;SLG;1;;;;;;;;16MB;
