#Name,Title,Emulator,CloneOf,Year,Manufacturer,Category,Players,Rotation,Control,Status,DisplayCount,DisplayType,AltRomname,AltTitle,Extra,Buttons,Series,Language,Region,Rating
#GigaWing 2 (Japan),기가 윙 2 (일본판),SEGA Dreamcast,0,2001,CAPCOM,Shooting,2,,,,,,,,일본어,,,,,
#Resident Evil - Code Veronica v1.000 (2000)(Capcom)(NTSC)(US)(Disc 1 of 2)[!],레지던트 이블 - 코드 베로니카 (일본판),SEGA Dreamcast,Resident Evil Code - Veronica (USA) (Disc 1),2000,CAPCOM,Shooting,1,,,,,,,,일본어,,,,,
Bangai-O (USA),반가이오 (미국판),SEGA Dreamcast,0,2000,Treasure,Shooting,2,,,,,,,,영어,,,,,
Sword of the Berserk - Gut's Rage (Japan),베르세르크 천년제국의 매 편 상실화의 장 (일본판),SEGA Dreamcast,0,1999,YUKE'S,Arcade,1,,,,,,,,일본어,,,,,
#Psyvariar 2 - The Will to Fabricate v1.001 (2004)(Success)(NTSC)(JP)(en)[!],사이바리마 2 - 더 윌 투 패브리케이트 (일본판),SEGA Dreamcast,psyvar2,2004,SUCCESS,Shooting,2,,,,,,,,일본어,,,,,
#Sonic Adventure v1.007 (1998)(Sega)(NTSC)(JP)[!][HDR-0001-0017 1M1` 1MB3],소닉 어드벤처 (일본판),SEGA Dreamcast,Sonic Adventure (USA),1998,SEGA,Action,2,,,,,,,sonic,일본어,,,,,
#Elemental Gimmick Gear (K),엘레멘탈 기믹 기어 (한글판),SEGA Dreamcast,0,1999,Hudson,RPG,1,,,,,,,,한국어,,,,,
Jet Grind Radio (USA),젯 셋 라디오 (미국판),SEGA Dreamcast,0,2000,SEGA,Action,1,,,,,,,,영어,,,,,
