#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
initdv2e;이니셜 D 아케이드 스테이지 Ver. 2;SEGA NAOMI;initdv2j;2004;SEGA;Racing;;;;;;;;;;;;;;
initdv3e;이니셜 D 아케이드 스테이지 Ver. 3;SEGA NAOMI;initdv3j;2004;SEGA;Racing;;;;;;;;;;;;;;
#ibara;이바라;CAVE;;2005;CAVE;Shooting;;;;;;;;;;;;;;
#ibarablk;이바라 블랙라벨;CAVE;;2005;CAVE;Shooting;;;;;;;;;;;;;;
#ikaruga;이카루가;SEGA NAOMI;;2001;Treasure;Shooting;2;;;;;;;;;;;;;
#illvelo;일매틱 엔벨로프;SEGA NAOMI;;2008;SEGA;Shooting;;;;;;;;;;;;;;
#zerogu2;제로 건너 2;SEGA NAOMI;;2001;Psikyo;Shooting;;;;;;;;;;;;;;
zombrvn;좀비 리벤지;SEGA NAOMI;;1999;SEGA;Action;;;;;;;;;;;;;;
#cfield;카오스 필드;SEGA NAOMI;;2004;Milestone;Shooting;;;;;;;;;;;;;;
cspike;캐논 스파이크;SEGA NAOMI;;2000;Capcom;Shooting;;;;;;;;;;;;;;
capsnk;캡콤 VS SNK 밀레니엄 파이트 2000;SEGA NAOMI;;2000;Capcom;Fighting;;;;;;;;;;;;;;
cvsgd;캡콤 VS SNK 밀레니엄 파이트 2000 프로;SEGA NAOMI;0;2001;Capcom;Fighting;2;0;Joystick (8-way);preliminary;1;raster;naomigd;0;chd;6;;;;
cvs2mf;캡콤 VS SNK 2 밀리언에어 파이팅 2001;SEGA NAOMI;cvs2;2001;Capcom;Fighting;;;;;;;;;;;;;;
crzytaxi;크레이지 택시;SEGA NAOMI;;1999;SEGA;Racing;;;;;;;;;;;;;;
cleoftp;클레오파트라 포춘 플러스;SEGA NAOMI;0;2002;Taito;Puzzle;;;;;;;;;;;;;;
#trgheart;트리거 하트 엑셀리카;SEGA NAOMI;;2006;Warashi;Shooting;;;;;;;;;;;;;;
pstone2;파워 스톤 2;SEGA NAOMI;;2000;Capcom;Action;;;;;;;;;;;;;;
mushitam;퍼즐 벌레공주;CAVE;;2005;CAVE;Puzzle;;;;;;;;;;;;;;
#pinkswts;핑크 스위츠 이바라 소레카라;CAVE;;2006;CAVE;Shooting;;;;;;;;;;;;;;
hotd2;하우스 오브 데드 2;SEGA NAOMI;;1999;SEGA;GunShooting;;;;;;;;;;;;;;
hmgeo;헤비 메탈 지오매트릭스;SEGA NAOMI;;2001;Capcom;Fighting;;;;;;;;;;;;;;
