#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
#The Simpsons Game (USA);심슨 게임;PS2;Simpsons Game, The (USA);2007;Electronic Arts;Action;1;;;;;;;;영어;;;;;
Summer Heat Beach Volleyball;썸머 히트 비치 발리볼;PS2;Summer Heat Beach Volleyball (USA);2003;Acclaim;Sports;2;;;;;;;;영어;;;;;
Argus no Senshi (K);아르고스의 전사;PS2;Rygar - The Legendary Adventure (USA);2003;Tecmo;Action;1;;;;;;;;한국어;;;;;
#OutRun2 SP (Japan);아웃런 2 스페셜 투어즈 (일본판);PS2;;2003;SEGA;Racing;1;;;;;;;;일본어;;;;;
#XI5 (K);아쿠이 오형제 / 봄바스틱;PS2;Bombastic (USA);2003;Sony;Puzzle;1;;;;;;;;한국어;;;;;
Castlevania Lament of Innocence (K);악마성 드라큐라 - 순결의 애도;PS2;Castlevania - Lament of Innocence (USA);2003;Konami;Action;1;;;;;;;;한국어;;;;;
Castlevania Curse of Darkness (K);악마성 드라큐라 - 어둠의 저주;PS2;Castlevania - Curse of Darkness (USA);2005;Konami;Action;1;;;;;;;;한국어;;;;;
Urban Reign;어반 레인;PS2 (ISO);0;2005;Namco;Action;;;;;;;;;영어;;;;;
#Odin Sphere (K);오딘 스피어;PS2;Odin Sphere (USA);2002;Atlus;RPG;1;;;;;;;;영어;;;;;
#Okami (USA);오오카미 (미국판);PS2;;2006;Capcom;Action;1;;;;;;;;영어;;;;;
Shadow of the Colossus (K);완다와 거상;PS2;Shadow of the Colossus (USA);2005;Sony;RPG;1;;;;;;;;한국어;;;;;
Initial D;이니셜 D;PS2 (ISO);0;2003;SEGA;Racing;;;;;;;;;한국어;;;;;
#Astro Boy Atom (K);우주소년 아톰;PS2;Astro Boy (USA);2004;SEGA;Action;1;;;;;;;;한국어;;;;;
#War of the Monsters (K);워 오브 더 몬스터즈 - 괴수대격전;PS2;War of the Monsters (USA);2003;Capcom;Action;1;;;;;;;;한국어;;;;;
#Winning Eleven10 Liveware Evolution (K);위닝 일레븐 10 라이브웨어 에볼루션;PS2;Winning Eleven - Pro Evolution Soccer 2007 (USA);2006;Konami;Sports;2;;;;;;;;한국어;;;;;
Disaster Report (K);절체절명도시;PS2;Disaster Report (USA);2002;Irem;Adventure;1;;;;;;;;한국어;;;;;
#Xenosaga Episode 3 Disc 1 (USA)(Undub);제노사가 에피소드 3. Disc 1;PS2;Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 1);2006;Monolith Soft;RPG;1;;;;;;;;영어;;;;;
#Xenosaga Episode 3 Disc 2 (USA)(Undub);제노사가 에피소드 3. Disc 2;PS2;Xenosaga Episode III - Also sprach Zarathustra (USA) (Disc 2);2006;Monolith Soft;RPG;1;;;;;;;;영어;;;;;
Zone of the Enders - The 2nd Runner Special Edition (K);존 오브 디 엔더스 2;PS2;Zone of the Enders - The 2nd Runner (USA);2003;Konami;Action;1;;;;;;;;한국어;;;;;
#Assault Suits Valken (K);중장기병 발켄;PS2;Assault Suits Valken (Europe);2004;Capcom;Action;1;;;;;;;;한국어;;;;;
#Shin Sangoku Musou 2 (K);진 삼국무쌍 2;PS2;Dynasty Warriors 3 (USA);2002;Koei;Action;1;;;;;;;;한국어;;;;;
#Shin Sangoku Musou 2 Moushouden (K);진 삼국무쌍 2 맹장전;PS2;Dynasty Warriors 3 - Xtreme Legends (USA);2002;Koei;Action;1;;;;;;;;한국어;;;;;
#Shin Sangoku Musou 5 Special (K);진 삼국무쌍 5 스페셜;PS2;Dynasty Warriors 6 (USA);2008;Koei;Action;1;;;;;;;;한국어;;;;;
#Shin Megami Tensei 3 Nocturne (k);진 여신전생 3 녹턴;PS2;Shin Megami Tensei - Nocturne (USA);2004;Atlus;RPG;1;;;;;;;;한국어;;;;;
#Shin Megami Tensei 3 Nocturne Maniacs (K);진 여신전생 3 녹턴 매니악스;PS2;0;2003;Atlus;RPG;1;;;;;;;;한국어;;;;;
#Shin Megami Tensei - Persona 3 FES (K);진 여신전생 페르소나 3 FES;PS2;Shin Megami Tensei - Persona 3 FES (USA);2006;Atlus;RPG;1;;;;;;;;한국어;;;;;
#Shin Megami Tensei Persona 4;진 여신전생 페르소나 4;PS2;Shin Megami Tensei - Persona 4 (USA);2008;Atlus;RPG;1;;;;;;;;한국어;;;;;
Tenchu 3 - Wrath of Heaven (K);천주 3 - 천벌;PS2;Tenchu - Wrath of Heaven (USA);2003;FromSoftware;Action;1;;;;;;;;한국어;;;;;
#Tenchu Kurenai (K);천주 쿠레나이;PS2;Tenchu - Fatal Shadows (USA);2004;From Software;Action;1;;;;;;;;한국어;;;;;
Tekken 4 (K);철권 4;PS2 (ISO);Tekken 4 (USA);2001;Namco;Fighting;2;;;;;;;;한국어;;;;;
Tekken 5;철권 5;PS2;Tekken 5 (USA);2005;Namco;Fighting;2;;;;;;;;한국어;;;;;
Death by Degrees;철권 니나 - 데스 바이 디그리스;PS2 (ISO);Death by Degrees (USA);2005;Namco;Action;1;;;;;;;;영어;;;;;
Tekken TT (K);철권 태그 토너먼트;PS2;Tekken Tag Tournament (USA);2000;Namco;Fighting;2;;;;;;;;한국어;;;;;
#Super Dimension Fortress Macross (Japan);초시공요새 마크로스 (일본판);PS2;0;2003;SEGA;Shooting;1;;;;;;;;일본어;;;;;
#Kaido Battle 2 Chain Reaction (K);카이도 배틀 2 체인 리액션 / 도쿄 익스트림 레이서 2;PS2;Tokyo Xtreme Racer - Drift 2 (USA);2004;Genki;Racing;1;;;;;;;;한국어;;;;;
