11beat	Eleven Beat	Hudson
1941	1941: 카운터 어택 (세계판 900227)	Capcom
1941j	1941: 카운터 어택 (일본판)	Capcom
1941r1	1941: 카운터 어택 (세계판)	Capcom
1941u	1941: 카운터 어택(미국판 900227)	Capcom
1942	1942 (개정판 B)	Capcom
1942a	1942 (개정판 A)	Capcom
1942abl	1942 (개정판 A, bootleg)	bootleg
1942b	1942 (First Version)	Capcom
1942h	슈퍼차저1942	hack (Two Bit Score)
1942p	1942 (Tecfri PCB, bootleg?)	bootleg
1942w	1942 (Williams Electronics license)	Capcom (Williams Electronics license)
1943	1943: 미드웨이 해전 (유럽판)	Capcom
1943b	1943: 미드웨이 해전 (bootleg, hack of Japan set)	bootleg
1943bj	1943: 미드웨이 해전 (bootleg)	bootleg
1943j	1943: 미드웨이 해전 (일본판, 개정판 B)	Capcom
1943ja	1943: 미드웨이 해전 (일본판)	Capcom
1943jah	1943: 미드웨이 해전 (일본판, no protection hack)	Capcom
1943kai	1943 개(改): 미드웨이 해전 (일본판)	Capcom
1943kais01	1943 개(改): 미드웨이 해전 (초기 무기 레이저, B버튼으로 보조기체 획득, 무한 롤오버)(일본판)	winux/pipi899
1943mii	1943: 미드웨이 해전 Mark II (미국판)	Capcom
1943u	1943: 미드웨이 해전 (US, Rev C)	Capcom
1943ua	1943: 미드웨이 해전 (미국판)	Capcom
1944	1944: 루프 마스터 (미국판 000620)	Eighting / Raizing (Capcom license)
1944d	1944: 루프 마스터 (미국판 000620 Phoenix Edition) (bootleg)	bootleg
1944fp	1944: 루프 마스터 (총알 최대, 폭탄무한, 미니비행기)	Qxs8
1944j	1944: 루프 마스터 (일본판 000620)	Eighting / Raizing (Capcom license)
1944s01	1944: 루프 마스터 (총알최대, 폭탄무한)	DDJ
1945kiii	1945k III (newer, OPCX2 PCB)	Oriental Soft
1945kiiin	1945k III (newer, OPCX1 PCB)	Oriental Soft
1945kiiio	1945k III (구버전, OPCX1 PCB)	Oriental Soft
19xx	19XX: 운명과의 전쟁 (미국판 951207)	Capcom
19xxa	19XX: 운명과의 전쟁 (아시아판 960104)	Capcom
19xxar1	19XX: 운명과의 전쟁 (아시아판 951207)	Capcom
19xxb	19XX: 운명과의 전쟁 (Brazil 951218)	Capcom
19xxd	19XX: 운명과의 전쟁 (미국판 951207 Phoenix Edition) (bootleg)	bootleg
19xxh	19XX: 운명과의 전쟁 (히스패닉판 951218)	Capcom
19xxj	19XX: 운명과의 전쟁 (일본판 960104, yellow case)	Capcom
19xxjr1	19XX: 운명과의 전쟁 (일본판 951225)	Capcom
19xxjr2	19XX: 운명과의 전쟁 (일본판 951207)	Capcom
19xxs01	19XX: 운명과의 전쟁(화력 최대,폭탄 무한)	DDJ
1on1gov	1 대 1 거버넌트 (일본판)	Tecmo
2020bb	2020 휠즈 & 파이어 베이스볼 (세트 1)	SNK / Pallas
2020bba	2020 슈퍼 베이스볼 (세트 2)	SNK / Pallas
2020bbh	2020 슈퍼 베이스볼 (세트 3)	SNK / Pallas
20pacgal	미즈 팩맨 / 갤러그 - 20주년 기념판 (버전 1.08)	Namco / Cosmodog
20pacgalr0	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.00)	Namco / Cosmodog
20pacgalr1	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.01)	Namco / Cosmodog
20pacgalr2	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.02)	Namco / Cosmodog
20pacgalr3	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.03)	Namco / Cosmodog
20pacgalr4	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.04)	Namco / Cosmodog
25pacman	팩맨 - 25주년 기념판 (개정판 3.00)	Namco / Cosmodog
25pacmano	팩맨 - 25주년 기념판 (개정판 2.00)	Namco / Cosmodog
2mindril	투 미닛 드릴	Taito America Corporation
3countb	3 카운트 바웃 / 파이어 수플렉스 (NGM-043)(NGH-043)	SNK
3in1semi	제스 - 더 뉴 레볼류션 (SemiCom 3-in-1)	SemiCom / XESS
3kokushi	삼각지 (일본판)	Mitchell
3on3dunk	3 On 3 덩크 매드니스 (미국판, 시험판 1997/02/04)	Video System Co.
3stooges	쓰리 스투지스 / 세명의 바보들 - 신부는 신부다	Mylstar
3stoogesa	쓰리 스투지스 / 세명의 바보들 - 신부는 신부다 (세트 2)	Mylstar
3wonders	쓰리 원더스 (세계판 910520)	Capcom
3wonders01	쓰리 원더스 (EX 슈퍼 버전. 공략 참고)(세계판 910520)	huangxu
3wonders02	쓰리 원더스 (생명 무한)(세계판 910520)	Blue-Ray
3wondersb	쓰리 원더스 (bootleg)	bootleg
3wondersh	쓰리 원더스 (해킹판)	bootleg
3wondersr1	쓰리 원더스 (세계판 910513)	Capcom
3wondersu	쓰리 원더스 (미국판 910520)	Capcom
40love	포티 러브	Taito Corporation
40lovej	포티 러브 (일본판)	Taito Corporation
4dwarrio	4-D 워리어즈 (315-5162)	Coreland / Sega
4in1boot	퍼즐왕 (스노우 브라더스 게임 해적판)	K1 Soft
64street	64번가 - 탐정소설 (세계판)	Jaleco
64streetj	64번가 - 탐정소설 (일본판, 세트 1)	Jaleco
64streetja	64번가 - 탐정소설 (일본판, 세트 2)	Jaleco
88games	'88 게임즈	Konami
8ball	비디오 에이트 볼	Century Electronics
8ball1	비디오 에이트 볼(개정판.1)	Century Electronics
8ballact	에이트 볼 액션 (동키콩 하드웨어 기판 개조)	Seatongrove Ltd (Magic Electronics USA license)
8ballact2	에이트 볼 액션 (동키콩 주니어 컨버전)	Seatongrove Ltd (Magic Electronics USA license)
98best44	네오 프린트 - '98 NeoPri Best 44 (일본판) (T4i 3.07)	SNK
9ballsht	9-볼 슛아웃 (세트 1)	E-Scape EnterMedia (Bundra license)
9ballsht2	9-볼 슛아웃 (세트 2)	E-Scape EnterMedia (Bundra license)
9ballsht3	9-볼 슛아웃 (세트 3)	E-Scape EnterMedia (Bundra license)
9ballshtc	9-볼 슛아웃 Championship	E-Scape EnterMedia (Bundra license)
___empty	No Driver Loaded	MAME
abcop	A.B. 캅 (세계판, FD1094 317-0169b)	Sega
abcopd	A.B. 캅 (세계판) (bootleg of FD1094 317-0169b set)	bootleg
abcopj	A.B. 캅 (일본판, FD1094 317-0169b)	Sega
abcopjd	A.B. 캅 (일본판) (bootleg of FD1094 317-0169b set)	bootleg
abscam	압스캠	GL (US Billiards license)
aburner	에프터 버너	Sega
aburner2	에프터 버너 II	Sega
aburner2g	에프터 버너 II (독일판)	Sega
acedrvrw	에이스 드라이버 (개정판 AD2, 세계판)	Namco
acommand	에일리언 커맨드	Jaleco
acrobatm	아크로뱃 미션	UPL (Taito license)
actfancr	액트팬서 사이버네틱 하이퍼 웨폰 (세계 개정판 2)	Data East Corporation
actfancr1	액트팬서 사이버네틱 하이퍼 웨폰 (세계판 개정판 1)	Data East Corporation
actfancr2	액트팬서 사이버네틱 하이퍼 웨폰 (세계판 개정판 2)	Data East Corporation
actfancrj	액트팬서 사이버네틱 하이퍼 웨폰 (일본판 개정판 1)	Data East Corporation
adillor	아르마딜로 레이싱 (개정판. AM1 버전.A, 일본판)	Namco
aerfboo2	에어로 파이터즈 (bootleg, 세트 2)	bootleg
aerfboot	에어로 파이터즈 (bootleg, 세트 1)	bootleg
aeroboto	에어로보토	Jaleco (Williams license)
aerofgt	에어로 파이터즈 (세계판 / 미국판 + 캐나다판 / 휠즈 & 파이어 비쥬얼 풋볼판 / 홍콩판 / 대만판) (새로운 하드웨어)	Video System Co.
aerofgtb	에어로 파이터즈 (대만 / 일본 판, 세트 1)	Video System Co.
aerofgtc	에어로 파이터즈 (대만 / 일본 판, 세트 2)	Video System Co.
aerofgts	에어로 파이터즈 스페셜 (대만판)	Video System Co.
afighter	액션 파이터 (FD1089A 317-0018)	Sega
afightera	액션 파이터 (unprotected)	Sega
afighterb	액션 파이터 (unprotected, analog controls)	Sega
afighterc	액션 파이터 (FD1089B 317-unknown)	Sega
afighterd	액션 파이터 (FD1089B 317-unknown, 아날로그 컨트롤)	Sega
agallet	에어 갈렛 (유럽판)	Gazelle (Banpresto license)
agalleta	에어 갈렛 (구버전, 유럽판)	Gazelle (Banpresto license)
agalletah	에어 갈렛 (구버전, 홍콩판)	Gazelle (Banpresto license)
agalletaj	아쿠 갈렛 (구버전, 일본판)	Gazelle (Banpresto license)
agalletak	에어 갈렛 (구버전, 한국판)	Gazelle (Banpresto license)
agalletat	에어 갈렛 (구버전, 대만판)	Gazelle (Banpresto license)
agalletau	에어 갈렛 (구버전, 미국판)	Gazelle (Banpresto license)
agalleth	에어 갈렛 (홍콩판)	Gazelle (Banpresto license)
agalletj	아쿠 갈렛 (일본판)	Gazelle (Banpresto license)
agalletk	에어 갈렛 (휠즈 & 파이어 비쥬얼 풋볼판)	Gazelle (Banpresto license)
agallett	에어 갈렛 (대만판)	Gazelle (Banpresto license)
agalletu	에어 갈렛 (미국판)	Gazelle (Banpresto license)
airass	에어 어설트 (세계판)	Irem
airattck	공습 (세트 1)	Comad
airattcka	공습 (세트 2)	Comad
airbustr	에어 버스터: 트러블 스페셜티 레이드 유닛 (세계판)	Kaneko (Namco license)
airbustrj	에어 버스터: 트러블 스페셜티 레이드 유닛 (일본판)	Kaneko (Namco license)
airduel	에어 듀엘 (일본판)	Irem
airduelm72	에어 듀엘 (일본판, M72)	Irem
airlbios	나오미 에어라인 파일럿 디럭스 바이오스	Sega
airwolf	에어울프	Kyugo
airwolfa	에어울프 (미국판)	Kyugo (United Amusements license)
ajax	A 잭스	Konami
ajaxj	A 잭스 (일본판)	Konami
akatana	아카이 카타나(붉은 칼) (2010/ 8/13 MASTER 버전.)	Cave (AMI license)
aktaytdx	알카노이드 디럭스 (일본판, Tayto)	hack
aladmdb	알라딘 (일본 메가 드라이브 게임기 해적판)	bootleg / Sega
alcon	슬랩 파이트 / 알콘 (미국판)	Toaplan / Taito America Corp.
aleck64	알렉64 바이오스	Nintendo / Seta
alexkidd	알렉스 키드: 더 로스트 스타즈 (세트 2, 비보호)	Sega
alexkidd1	알렉스 키드: 더 로스트 스타즈 (세트 1, FD1089A 317-0021)	Sega
alg_bios	아메리칸 레이저 게임 바이오스	American Laser Games
alibaba	알리바바와 40인의 도둑	Sega
alibabab	알리바바와 40인의 도둑 (bootleg)	bootleg
alien	에일리언: 아케이드 메달 에디션	Capcom
alien3	에일리언3 : 더 건 (세계판)	Sega
alien3j	에일리언3 : 더 건 (일본판)	Sega
alien3u	에일리언3 : 더 건 (미국판)	Sega
aliencha	에일리언 챌린지 (세계판)	IGS
aliens	에일리언스 (세계판 세트 1)	Konami
aliens2	에얼리언즈 (세계판 세트 2)	Konami
aliens3	에얼리언즈 (세계판 세트 3)	Konami
aliensa	에얼리언즈 (아시아판)	Konami
aliensec	폭돌기총정 바라듀크 / 에일리언 섹터	Namco
aliensj	에얼리언즈 (일본판 세트 1)	Konami
aliensj2	에일리언스 (일본판 세트 2)	Konami
aliensu	에얼리언즈 (미국판)	Konami
aliensyn	에일리언 신드롬 (세트 4, System 16B 기판, 비보호)	Sega
aliensyn3	에일리언 신드롬 (세트 3, System 16B, FD1089A 317-0033)	Sega
aliensyn7	에일리언 신드롬 (세트 7, System 16B, MC-8123B 317-00xx)	Sega
aliensynj	에일리언 신드롬 (세트 6, Japan, new, System 16B, FD1089A 317-0033)	Sega
aligator	앨리게이터 헌트	Gaelco
aligators	엘리게이터 헌트 (Spain, protected)	Gaelco
aligatorun	엘리게이터 헌트 (unprotected, 세트 1)	Gaelco
aligatoruna	엘리게이터 헌트 (unprotected, 세트 2)	Gaelco
alpham2	알파 미션 II / ASO II - Last Guardian (NGM-007 ~ NGH-007)	SNK
alpham2p	알파 미션 II / ASO II - Last Guardian (prototype)	SNK
alpilot	에어라인 파일럿 (세계판, 개정판 B)	Sega
alpilotj	에어라인 파일럿 (일본판, 개정판 A)	Sega
alpinerc	알파인 레이서 (개정판. AR2 Ver.C, World)	Namco
alpinerd	알파인 레이서 (개정판. AR2 버전.D, 세계판)	Namco
alpinesa	알파인 서퍼 (개정판. AF2 버전.A, 세계판)	Namco
alpinr2a	알파인 레이서 2 (개정판. ARS2 Ver.A, World)	Namco
alpinr2b	알파인 레이서 2 (개정판. ARS2 버전.B, 세계판)	Namco
altbeast	수왕기 (세트 8, 8751 317-0078)	Sega
altbeast2	수왕기 (세트 2) (MC-8123B 317-0066)	Sega
altbeast4	수왕기 (세트 4) (MC-8123B 317-0066)	Sega
altbeast5	수왕기 (세트 5) (FD1094 317-0069)	Sega
altbeast5d	수왕기 (세트 5) (bootleg of FD1094 317-0069 set)	bootleg
altbeast6	수왕기 (세트 6) (8751 317-0076)	Sega
altbeastj	수왕기 (세트 7, 일본판, 8751 317-0077)	Sega
altbeastj1	수왕기 (세트 1, 일본판) (FD1094 317-0065)	Sega
altbeastj3	수왕기 (세트 3, 일본판) (FD1094 317-0068)	Sega
altbeastj3d	수왕기 (세트 3, 일본판) (bootleg of FD1094 317-0068 set)	bootleg
amazon	성전사 아마테라스 / 아마존 여전사	Nichibutsu
amazont	성전사 아마테라스 / 아마존 여전사 (Tecfri license)	Nichibutsu (Tecfri license)
androdun	안드로 듀노스 (NGM-049)(NGH-049)	Visco
androdunpx	안드로 듀노스 (Plus Max hack by Xyahzhs)	Xyahzhs
androduns01	안드로 듀노스 (Hacks Alt)	Hacks
angelkds	엔젤 키즈 (일본판)	Sega / Nasco?
animaljr	익사이팅 애니멀 랜드 쥬니어 (미국판)	Nakanihon / East Technology (Taito license)
animaljrj	와이와이 애니멀 랜드 쥬니어 (일본판)	Nakanihon / East Technology (Taito license)
animaljrs	와이와이 애니멀 랜드 쥬니어 (Spanish)	Nakanihon / East Technology (Taito license)
anpanman	날아라 ! 호빵맨 팝콘 공장 (개정판 B)	Sega
aodk	통쾌 간간 행진곡 / 어그레서 오브 다크 컴뱃 (ADM-008)(ADH-008) 	ADK / SNK
aof	용호의 권 (NGM-044)(NGH-044)	SNK
aof2	용호의 권 2 (NGM-056)	SNK
aof2a	아트 오브 파이팅 2 / 용호의 권 2 (NGH-056)	SNK
aof2b1	용호의 권 2 (보스 핵)	Yumeji
aof3	용호의 권 외전	SNK
aof3k	용호의 권 3 - 전사의 길 (휠즈 & 파이어 비쥬얼 풋볼판)	SNK
aof3ks02	용호의 권 3 (히든 캐릭터 활성 In Arcade Mode V2)(한국판)	Hacks
aofbh	용호의 권 (보스 핵 by Yumeji)	Yumeji
aofkt	용호의 권 (한국어 번역판)	SNK
aoh	에이지 오브 히어로즈 - 실크로드 2 (슈퍼 비쥬얼 풋볼판, 버전 0.63 - 2001/02/07)	Unico
aohs01	실크로드의 전설 2 / 에이지 오브 히어로즈 (Easy Move)(v0.63 - 2001/02/07)	DDJ
aohs02	실크로드의 전설 2 / 에이지 오브 히어로즈 (No Need Power)(v0.63 - 2001/02/07)	DDJ
apache3	아파치 3 (개정판 F)	Tatsumi
apache3a	아파치 3 (rev E)	Tatsumi
apache3b	아파치 3 (Kana Corporation license, rev G)	Tatsumi (Kana Corporation license)
apb	지명수배령 (올 포인트 블러틴) (개정판 7)	Atari Games
apb1	지명수배령 (올 포인트 블러틴) (rev 1)	Atari Games
apb2	지명수배령 (올 포인트 블러틴) (rev 2)	Atari Games
apb3	지명수배령 (올 포인트 블러틴) (rev 3)	Atari Games
apb4	지명수배령 (올 포인트 블러틴) (rev 4)	Atari Games
apb5	지명수배령 (올 포인트 블러틴) (rev 5)	Atari Games
apb6	지명수배령 (올 포인트 블러틴) (rev 6)	Atari Games
apbf	지명수배령 (올 포인트 블러틴) (French)	Atari Games
apbg	지명수배령 (올 포인트 블러틴) (German)	Atari Games
aplarail	어택 플라 레일 (일본판, AP1/버전.A)	Namco / Tomy
aquajack	아쿠아 잭 (세계판)	Taito Corporation Japan
aquajackj	아쿠아 잭 (일본판)	Taito Corporation
aquajacku	아쿠아 잭 (미국판)	Taito America Corporation
aquajet	아쿠아 젯 (개정판. AJ2 버전.B, 세계판)	Namco
aquarium	아쿠아리움 (미국판)	Excellent System
aquariumj	아쿠아리움 (일본판)	Excellent System
aquarush	아쿠아 러쉬 (일본판, AQ1/VER.A1)	Namco
ar_argh	아아아악 (Arcadia)	Arcadia Systems
ar_bios	아카디아 시스템 바이오스	Arcadia Systems
ar_blast	베이스볼 (아카디아판, 버전 2.1)	Arcadia Systems
ar_dlta	델타 커맨드 (Arcadia)	Arcadia Systems
ar_fast	매직 존슨의 패스트 브레이크 (아카디아판, 버전 2.8)	Arcadia Systems
ar_ninj	닌자 미션 (Arcadia, 세트 1, V 2.5)	Arcadia Systems
ar_sdwr	사이드 와인더 (아카디아판, 세트 1, 버전 2.1)	Arcadia Systems
ar_xeon	제논 (Arcadia, V 2.3)	Arcadia Systems
arabfgt	아라비안 파이트 (세계판)	Sega
arabfgtj	아라비안 파이트 (일본판)	Sega
arabfgtu	아라비안 파이트 (미국판)	Sega
arabianm	아라비안 매직 (세계판, 버전 1.0O 1992/07/06)	Taito Corporation Japan
arabianmj	아라비안 매직 (Ver 1.0J 1992/07/06)	Taito Corporation
arabianmu	아라비안 매직 (Ver 1.0A 1992/07/06)	Taito America Corporation
arbalest	아바레스터	Seta
arcadian	아르카디아 (NMK)	NMK
archrivl	아치 라이벌스 (개정판 4.0 6/29/89)	Bally Midway
archrivla	아치 라이벌스 (rev 2.0 5/03/89)	Bally Midway
archrivlb	아치 라이벌스 (rev 2.0 5/03/89, 8-way Joystick bootleg)	bootleg
arctthnd	아크틱 썬더 (v1.002)	Midway Games
area88	에어리어 88 (일본판)	Capcom
area88r	에어리어 88 (일본 재판매 버전)	Capcom
arescue	에어 레스큐 (세계판)	Sega
arescuej	에어 레스큐 (일본판)	Sega
arescueu	에어 레스큐 (미국판)	Sega
argus	아르고스	NMK (Jaleco license)
arkanoid	알카노이드 (세계판, 최구버전 개정판)	Taito Corporation Japan
arkanoidj	알카노이드 (일본판, newer)	Taito Corporation
arkanoidja	알카노이드 (일본판, 구버전 개정판)	Taito Corporation
arkanoidjb	알카노이드 (일본판, older)	Taito Corporation
arkanoidjbl	알카노이드 (bootleg with MCU, 세트 1)	bootleg
arkanoidjbl2	알카노이드 (bootleg with MCU, 세트 2)	bootleg (Beta)
arkanoidu	알카노이드 (US, newer)	Taito America Corporation (Romstar license)
arkanoiduo	알카노이드 (US, older)	Taito America Corporation (Romstar license)
arkatour	토너먼트 알카노이드 (미국판)	Taito America Corporation (Romstar license)
arknoid2	알카노이드 - DOH의 복수 (세계판)	Taito Corporation Japan
arknoid2b	알카노이드 - Revenge of DOH (일본판 bootleg)	bootleg
arknoid2j	알카노이드 - DOH의 복수 (일본판)	Taito Corporation
arknoid2u	알카노이드 - Revenge of DOH (미국판)	Taito America Corporation (Romstar license)
arkretrn	알카노이드 리턴즈 (세계판, 버전 2.02O 1997/02/10)	Taito Corporation
arkretrnj	알카노이드 Returns (Ver 2.02J 1997/02/10)	Taito Corporation
arkretrnu	알카노이드 Returns (Ver 2.02A 1997/02/10)	Taito Corporation
armedf	암드 포메이션	Nichibutsu
armedff	암드 포메이션 (Fillmore 라이센스판)	Nichibutsu (Fillmore license)
armwar	파워드 기어 / 아머드 워리어즈 (유럽판 941024)	Capcom
armwar1d	아머드 워리어즈 (Euro 941011 Phoenix Edition) (bootleg)	bootleg
armwara	아머드 워리어즈 (아시아판 940920)	Capcom
armwarar1	아머드 워리어즈 (아시아판 940920)	Capcom
armwarr1	아머드 워리어즈 (Euro 941011)	Capcom
armwaru	아머드 워리어즈 (미국판 941024)	Capcom
armwaru1	아머드 워리어즈 (미국판 940920)	Capcom
ashnojoe	내일의 죠 (일본판)	Taito Corporation / Wave
ashura	아수라 블래스터 (세계판)	Taito Corporation Japan
ashuraj	아수라 블래스터 (일본판)	Taito Corporation
ashurau	아수라 블래스터 (미국판)	Taito America Corporation
asndynmt	아시안 다이나마이트 / Dynamite Deka EX	Sega
asndynmto	아시안 다이나마이트 / Dynamite Deka EX (구버전)	Sega
assault	어썰트	Namco
assaultj	어썰트 (일본판)	Namco
assaultp	어썰트 플러스 (일본판)	Namco
asterix	아스테릭스 (유럽판 버전 D, EAD)	Konami
asterixaad	아스테릭스 (ver AAD)	Konami
asterixeaa	아스테릭스 (ver EAA)	Konami
asterixeac	아스테릭스 (ver EAC)	Konami
asterixj	아스테릭스 (ver JAD)	Konami
astoneag	스톤 에이지 (Astro, 버전 ENG.03.A)	Astro Corp.
astorm	에일리언 스톰 (세계판, 2인용, FD1094 317-0154)	Sega
astorm3	에일리언 스톰 (세계판, 3인용, FD1094 317-0148)	Sega
astorm3d	에일리언 스톰 (세계판, 3 Players) (bootleg of FD1094 317-0148 set)	bootleg
astormj	에일리언 스톰 (일본판, 2인용, FD1094 317-0146)	Sega
astormjd	에일리언 스톰 (일본판, 2 Players) (bootleg of FD1094 317-0146 set)	bootleg
astormu	에일리언 스톰 (US, 3 Players) (FD1094 317-0147)	Sega
astormud	에일리언 스톰 (US, 3 Players) (bootleg of FD1094 317-0147 set)	bootleg
astrass	아스트라 슈퍼스타즈 (일본판, 980514 버전 1.002)	Sunsoft
astyanax	아스티아낙스	Jaleco
asuka	아스카 & 아스카 (세계판)	Taito Corporation
asukaj	아스카 & 아스카 (일본판)	Taito Corporation
asurabld	아수라 블레이드 - 왕조의 검 (일본판)	Fuuki
asurablds01	아수라 블레이드 - 왕조의 검 (에너지 최대)	hack
asurablds02	아수라 블레이드 - 왕조의 검 (히든 캐릭터 활성)	hack
asurablds03	아수라 블레이드 - 왕조의 검 (Super Remix Edition 1.0)	hack
asurabus	아수라 버스터 - 영원한 전사들 (일본판)	Fuuki
asurabusa	아수라 버스터 - 영원한 전사들 (일본판) (ARCADIA review build)	Fuuki
asurabuss01	아수라 버스터 - 영원한 전사들 (히든 캐릭)	hack
asurabuss02	아수라 버스터 - 영원한 전사들 (히든 캐릭 , 에너지 최대)	hack
asylum	아사이럼 (시험판)	Leland Corporation
atarisy1	Atari System 1 BIOS	Atari Games
atetb3482	테트리스 (bootleg set 4, with UM3482)	bootleg
atetris	테트리스 (세트 1)	Atari Games
atetrisa	테트리스 (세트 2)	Atari Games
atetrisb	테트리스 (bootleg 세트 1)	bootleg
atetrisb2	테트리스 (bootleg 세트 2)	bootleg
atetrisb3	테트리스 (bootleg 세트 3)	bootleg
atetrisc	테트리스 (cocktail 세트 1)	Atari Games
atetrisc2	테트리스 (cocktail 세트 2)	Atari Games
athena	아테나	SNK
athenab	아테나 (bootleg)	SNK
atomicp	아토믹 포인트 (슈퍼 비쥬얼 풋볼판)	Philko
aurail	오레일 (세트 3, US) (unprotected)	Sega / Westone
aurail1	오레일 (세트 2, 세계판, FD1089B 317-0168)	Sega / Westone
aurail1d	오레일 (set 2, World) (bootleg of FD1089B 317-0168 set)	bootleg
aurailj	오레일 (세트 1, 일본판, FD1089A 317-0167)	Sega / Westone
aurailjd	오레일 (세트 1, 일본판) (bootleg of FD1089A 317-0167 set)	bootleg
ausfache	아카츠키 전광전기 (일본판)	Subtle Style
avalnc12	아바론의 열쇠 1.2 - Summon The New Monsters (client) (개정판 A) (GDT-0010A)	Sega / Hitmaker
avalnc13	아바론의 열쇠 1.3 - Chaotic Sabbat (client) (개정판 C) (GDT-0010C)	Sega / Hitmaker
avalnc25	아바론의 열쇠 2.5 - War of the Key (client) (개정판 B) (GDT-0019B)	Sega / Hitmaker
avalnc25a	아바론의 열쇠 2.5 - War of the Key (client) (개정판 A) (GDT-0019A)	Sega / Hitmaker
avalns12	아바론의 열쇠 1.2 - Summon The New Monsters (server) (개정판 A) (GDT-0009A)	Sega / Hitmaker
avalns13	아바론의 열쇠 1.3 - Chaotic Sabbat (server) (개정판 C) (GDT-0009C)	Sega / Hitmaker
avalns25	아바론의 열쇠 2.5 - War of the Key (server) (개정판 B) (GDT-0018B)	Sega / Hitmaker
avalns25a	아바론의 열쇠 2.5 - War of the Key (server) (개정판 A) (GDT-0018A)	Sega / Hitmaker
avalon20	아바론의 열쇠 2.0 - Eutaxy and Commandment (client) (개정판 B) (GDT-0017B)	Sega / Hitmaker
avalonc	아바론의 열쇠 - The 위즈ard Master (client) (개정판 G) (GDT-0006G)	Sega / Hitmaker
avalonca	아바론의 열쇠 - The 위즈ard Master (client, Rev A) (GDT-0006A)	Sega / Hitmaker
avaloncc	아바론의 열쇠 - The 위즈ard Master (client) (개정판 C) (GDT-0006C)	Sega / Hitmaker
avalonce	아바론의 열쇠 - The 위즈ard Master (client) (개정판 E) (GDT-0006E)	Sega / Hitmaker
avaloncf	아바론의 열쇠 - The 위즈ard Master (client) (개정판 F) (GDT-0006F)	Sega / Hitmaker
avalons	아바론의 열쇠 - The 위즈ard Master (server) (개정판 G) (GDT-0005G)	Sega / Hitmaker
avalonsa	아바론의 열쇠 - The 위즈ard Master (server, Rev A) (GDT-0005A)	Sega / Hitmaker
avalonsc	아바론의 열쇠 - The 위즈ard Master (server) (개정판 C) (GDT-0005C)	Sega / Hitmaker
avalonse	아바론의 열쇠 - The 위즈ard Master (server) (개정판 E) (GDT-0005E)	Sega / Hitmaker
avalonsf	아바론의 열쇠 - The 위즈ard Master (server) (개정판 F) (GDT-0005F)	Sega / Hitmaker
avengers	필살무뢰권 / 어벤저스 (미국판, 세트 1)	Capcom
avengers2	필살무뢰권 / 어벤저스 (US 세트 2)	Capcom
avengrgs	어벤저스 인 갤럭틱 스톰 (미국판)	Data East Corporation
avengrgsj	어벤저스 인 갤럭틱 스톰 (일본판)	Data East Corporation
avsp	에일리언 대 프레데터 (유럽판 940520)	Capcom
avspa	에일리언 대 프레데터 (아시아판 940520)	Capcom
avspd	에일리언 대 프레데터 (유럽판 940520, 피닉스 에디션) (해적판)	bootleg
avsph	에일리언 대 프레데터 (히스패닉판 940520)	Capcom
avspirit	어벤징 스피릿	Jaleco
avspj	에일리언 대 프레데터 (일본판 940520)	Capcom
avspu	에일리언 대 프레데터 (미국판 940520)	Capcom
awbios	아토미스 웨이브 바이오스	Sammy
azumanga	아즈망가 대왕 퍼즐 보블 (GDL-0018)	MOSS (Taito license)
b2b	뱅뱅 버스터즈 (2010 NCI release)	Visco
b3rinsya	버닝 삼륜차	Sigma
babypac	베이비 팩맨 (세트 1)	Dave Nutting Associates / Bally
babypac2	베이비 팩맨 (세트 2)	Dave Nutting Associates / Bally
backfire	백파이어! (세트 1)	Data East Corporation
backfirea	백파이어! (일본판, 세트 2)	Data East Corporation
backfirt	백 파이어 (Tecmo社 판, 해적판)	Tecmo
baddudes	드래곤 닌자 / 배드 듀디스 VS 드래곤닌자 (미국판)	Data East USA
badlands	배드 랜드	Atari Games
bagman	배그맨	Valadon Automation
bagmanj	배그맨 (Taito)	Valadon Automation (Taito license)
bagmans	배그맨 (Stern Electronics, 세트 1)	Valadon Automation (Stern Electronics license)
bagmans2	배그맨 (Stern Electronics, 세트 2)	Valadon Automation (Stern Electronics license)
bakutotu	폭돌기총정 바라듀크 Ⅱ 	Namco
balcube	밸 큐브	Metro
ballbros	벌룬 브라더스	East Technology
balonfgt	VS 벌룬 파이트	Nintendo
baluba	바루바로크의 전설	Able Corp, Ltd.
bam2	버스트 어 무브 2 - 댄스 천국 믹스 (일본판 ROM 버전 1999/07/17 10:00:00)	Metro / Enix / Namco
bandit	밴딧 (미국판)	Data East USA
bang	뱅!	Gaelco
bangball	뱅뱅볼 (버전 1.05)	Banpresto / Kunihiko Tashiro+Goodhouse
bangbead	뱅 비드	Visco
bangj	건 가바초 (일본판)	Gaelco
bankp	뱅크패닉	Sanritsu / Sega
barata	도나 바라타 (early 시험판)	Eletro Matic Equipamentos Eletromec??nicos
barek3mb	베어 너클 III (bootleg of Megadrive version)	bootleg / Sega
baryon	바리온 - 퓨쳐 어썰트 (세트 1)	SemiCom / Tirano
